Base Part,Base Part Number,Base Style,Base Style Name,Category,Collection,Color,Date,Delivery Date,Delivery Month,Delivery Month ,Delivery Season,Delivery Season ,Family,Garment Type,Gender,Gender/Stature/Type,Global,Item Code,Macro Area,Master Style,Micro Area,Month,Product Category,Product Family,Product Gender,Product Sub-Family,Region,Region ,Reorder Type,Sales Area,Sales Area ,Style,Style Code,Style Code ,Style Description,Style Description ,Sub-Family,Year,Cost,Dnet,Margin $,Measure for Rank,MSRP,Order $ (U.S. Cost),Order $ (U.S. Dealer Net),Order $ (U.S. MSRP),Order $ (USD),Order Quantity,Style Count,Sum of Extra Quantity (Units),Sum of Quantity (Units)
95754-22VM,95754-22VM,MWS 1699734,MWS Random,Sportswear,Seasonal,Black,2021-07-12,Jul,21 07,21 07,2021 Spring,2021 Spring,Tops Woven,Casual,Women's,Women's Regular,Global,95754-22VM/464,EMEA,95754-22,,7,Sportswear,Tops Woven,Women's,Cap,Asia Pacific,Asia Pacific,Seasonal,Asia Pacific Market,Asia Pacific Market,Mechanic Style,95754-22VM,95754-22VM,Mechanic Shirt,Mechanic Shirt,Cap,2021,10.81,22.09,157.92,354,44.18,151.34,309.26,618.52,309.26,14,1,3,14
92286-22VM,92286-22VM,MWS 1382017,MWS Random,Sportswear,Core,Grey,2021-01-29,Jan,21 01,21 01,2021 Spring,2021 Spring,Tops Woven,Casual,Unisex,Unisex Regular,Global,92286-22VM/212,APAC,92286-22,,1,Sportswear,Tops Woven,Unisex,Shirt,Asia Pacific,Asia Pacific,Seasonal,Asia Pacific Market,Asia Pacific Market,Mechanic Style,92286-22VM,92286-22VM,Mechanic Shirt,Mechanic Shirt,Shirt,2021,11.24,26.1,178.32,264,52.2,134.88,313.2,626.4,313.2,12,1,0,12
98280-22VM,98280-22VM,MWS 1746432,MWS Random,Sportswear,Core,Grey,2021-09-13,Sep,21 09,21 09,2021 Spring,2021 Spring,Tops Woven,Casual,Unisex,Unisex Regular,Global,98280-22VM/830,North America,98280-22,,9,Sportswear,Tops Woven,Unisex,Shirt,Asia Pacific,Asia Pacific,Seasonal,Asia Pacific Market,Asia Pacific Market,Mechanic Style,98280-22VM,98280-22VM,Mechanic Shirt,Mechanic Shirt,Shirt,2021,26.0,75.65,844.05,222,151.3,442.0,1286.05,2572.1,1286.05,17,1,0,17
94008-22VM,94008-22VM,MWS 1222225,MWS Random,Sportswear,Core,Red,2021-12-08,Dec,21 12,21 12,2021 Spring,2021 Spring,Tops Woven,Casual,Women's,Women's Regular,Global,94008-22VM/730,North America,94008-22,,12,Sportswear,Tops Woven,Women's,T-Shirt,Europe,Europe,Seasonal,Europe Market,Europe Market,Mechanic Style,94008-22VM,94008-22VM,Mechanic Shirt,Mechanic Shirt,T-Shirt,2021,13.47,32.47,247.0,441,64.94,175.11,422.11,844.22,422.11,13,1,2,13
95243-22VM,95243-22VM,MWS 1529177,MWS Random,Sportswear,GMMC: Genuine Motorclothes,Blue,2021-02-14,Feb,21 02,21 02,2021 Spring,2021 Spring,Tops Woven,Casual,Women's,Women's Regular,Global,95243-22VM/809,APAC,95243-22,,2,Sportswear,Tops Woven,Women's,Jacket,USA,USA,Seasonal,USA Market,USA Market,Mechanic Style,95243-22VM,95243-22VM,Mechanic Shirt,Mechanic Shirt,Jacket,2021,28.25,75.46,519.31,303,150.92,310.75,830.06,1660.12,830.06,11,1,0,11
92847-22VM,92847-22VM,MWS 1984125,MWS Random,Sportswear,Core,Blue,2022-01-01,Jan,22 01,22 01,2022 Spring,2022 Spring,Tops Woven,Casual,Unisex,Unisex Regular,Global,92847-22VM/433,APAC,92847-22,,1,Sportswear,Tops Woven,Unisex,T-Shirt,Asia Pacific,Asia Pacific,Seasonal,Asia Pacific Market,Asia Pacific Market,Mechanic Style,92847-22VM,92847-22VM,Mechanic Shirt,Mechanic Shirt,T-Shirt,2022,12.1,35.77,284.04,139,71.54,145.2,429.24,858.48,429.24,12,1,3,12
94488-22VM,94488-22VM,MWS 1873065,MWS Random,Sportswear,Seasonal,Red,2021-10-30,Oct,21 10,21 10,2021 Spring,2021 Spring,Tops Woven,Casual,Men's,Men's Regular,Global,94488-22VM/919,North America,94488-22,,10,Sportswear,Tops Woven,Men's,Jacket,USA,USA,Seasonal,USA Market,USA Market,Mechanic Style,94488-22VM,94488-22VM,Mechanic Shirt,Mechanic Shirt,Jacket,2021,23.54,64.22,813.6,166,128.44,470.8,1284.4,2568.8,1284.4,20,1,2,20
96381-22VM,96381-22VM,MWS 1580044,MWS Random,Sportswear,Seasonal,Grey,2021-05-26,May,21 05,21 05,2021 Spring,2021 Spring,Tops Woven,Casual,Women's,Women's Regular,Global,96381-22VM/488,APAC,96381-22,,5,Sportswear,Tops Woven,Women's,Shirt,Europe,Europe,Seasonal,Europe Market,Europe Market,Mechanic Style,96381-22VM,96381-22VM,Mechanic Shirt,Mechanic Shirt,Shirt,2021,19.05,39.4,407.0,358,78.8,381.0,788.0,1576.0,788.0,20,1,1,20
99396-22VM,99396-22VM,MWS 1456296,MWS Random,Sportswear,GMMC: Genuine Motorclothes,Red,2021-02-23,Feb,21 02,21 02,2021 Spring,2021 Spring,Tops Woven,Casual,Men's,Men's Regular,Global,99396-22VM/392,North America,99396-22,,2,Sportswear,Tops Woven,Men's,Cap,USA,USA,Seasonal,USA Market,USA Market,Mechanic Style,99396-22VM,99396-22VM,Mechanic Shirt,Mechanic Shirt,Cap,2021,17.12,49.28,160.8,152,98.56,85.6,246.4,492.8,246.4,5,1,5,5
93020-22VM,93020-22VM,MWS 1527309,MWS Random,Sportswear,GMMC: Genuine Motorclothes,Green,2021-11-23,Nov,21 11,21 11,2021 Spring,2021 Spring,Tops Woven,Casual,Women's,Women's Regular,Global,93020-22VM/854,EMEA,93020-22,,11,Sportswear,Tops Woven,Women's,T-Shirt,Europe,Europe,Seasonal,Europe Market,Europe Market,Mechanic Style,93020-22VM,93020-22VM,Mechanic Shirt,Mechanic Shirt,T-Shirt,2021,11.27,32.04,353.09,450,64.08,191.59,544.68,1089.36,544.68,17,1,1,17
90901-22VM,90901-22VM,MWS 1488216,MWS Random,Sportswear,GMMC: Genuine Motorclothes,Grey,2021-03-02,Mar,21 03,21 03,2021 Spring,2021 Spring,Tops Woven,Casual,Women's,Women's Regular,Global,90901-22VM/286,EMEA,90901-22,,3,Sportswear,Tops Woven,Women's,T-Shirt,Europe,Europe,Seasonal,Europe Market,Europe Market,Mechanic Style,90901-22VM,90901-22VM,Mechanic Shirt,Mechanic Shirt,T-Shirt,2021,18.49,54.18,642.42,444,108.36,332.82,975.24,1950.48,975.24,18,1,3,18
90575-22VM,90575-22VM,MWS 1364898,MWS Random,Sportswear,GMMC: Genuine Motorclothes,Grey,2021-08-06,Aug,21 08,21 08,2021 Spring,2021 Spring,Tops Woven,Casual,Women's,Women's Regular,Global,90575-22VM/287,APAC,90575-22,,8,Sportswear,Tops Woven,Women's,Shirt,Europe,Europe,Seasonal,Europe Market,Europe Market,Mechanic Style,90575-22VM,90575-22VM,Mechanic Shirt,Mechanic Shirt,Shirt,2021,27.57,63.1,142.12,258,126.2,110.28,252.4,504.8,252.4,4,1,4,4
93358-22VM,93358-22VM,MWS 1016593,MWS Random,Sportswear,GMMC: Genuine Motorclothes,Red,2021-02-24,Feb,21 02,21 02,2021 Spring,2021 Spring,Tops Woven,Casual,Men's,Men's Regular,Global,93358-22VM/087,EMEA,93358-22,,2,Sportswear,Tops Woven,Men's,T-Shirt,Europe,Europe,Seasonal,Europe Market,Europe Market,Mechanic Style,93358-22VM,93358-22VM,Mechanic Shirt,Mechanic Shirt,T-Shirt,2021,10.07,27.51,52.32,156,55.02,30.21,82.53,165.06,82.53,3,1,4,3
94029-22VM,94029-22VM,MWS 1320087,MWS Random,Sportswear,GMMC: Genuine Motorclothes,Blue,2021-07-29,Jul,21 07,21 07,2021 Spring,2021 Spring,Tops Woven,Casual,Men's,Men's Regular,Global,94029-22VM/371,North America,94029-22,,7,Sportswear,Tops Woven,Men's,Shirt,USA,USA,Seasonal,USA Market,USA Market,Mechanic Style,94029-22VM,94029-22VM,Mechanic Shirt,Mechanic Shirt,Shirt,2021,19.65,56.16,693.69,354,112.32,373.35,1067.04,2134.08,1067.04,19,1,3,19
90920-22VM,90920-22VM,MWS 1874947,MWS Random,Sportswear,Seasonal,Green,2021-12-15,Dec,21 12,21 12,2021 Spring,2021 Spring,Tops Woven,Casual,Women's,Women's Regular,Global,90920-22VM/883,APAC,90920-22,,12,Sportswear,Tops Woven,Women's,Shirt,Europe,Europe,Seasonal,Europe Market,Europe Market,Mechanic Style,90920-22VM,90920-22VM,Mechanic Shirt,Mechanic Shirt,Shirt,2021,29.26,68.16,311.2,213,136.32,234.08,545.28,1090.56,545.28,8,1,5,8
97578-22VM,97578-22VM,MWS 1260977,MWS Random,Sportswear,Core,Black,2021-01-22,Jan,21 01,21 01,2021 Spring,2021 Spring,Tops Woven,Casual,Unisex,Unisex Regular,Global,97578-22VM/225,APAC,97578-22,,1,Sportswear,Tops Woven,Unisex,Cap,USA,USA,Seasonal,USA Market,USA Market,Mechanic Style,97578-22VM,97578-22VM,Mechanic Shirt,Mechanic Shirt,Cap,2021,16.37,43.26,430.24,417,86.52,261.92,692.16,1384.32,692.16,16,1,4,16
98581-22VM,98581-22VM,MWS 1314862,MWS Random,Sportswear,Core,Black,2021-01-31,Jan,21 01,21 01,2021 Spring,2021 Spring,Tops Woven,Casual,Women's,Women's Regular,Global,98581-22VM/964,EMEA,98581-22,,1,Sportswear,Tops Woven,Women's,Cap,USA,USA,Seasonal,USA Market,USA Market,Mechanic Style,98581-22VM,98581-22VM,Mechanic Shirt,Mechanic Shirt,Cap,2021,15.25,34.53,250.64,490,69.06,198.25,448.89,897.78,448.89,13,1,2,13
99452-22VM,99452-22VM,MWS 1118694,MWS Random,Sportswear,Seasonal,Blue,2021-06-10,Jun,21 06,21 06,2021 Spring,2021 Spring,Tops Woven,Casual,Women's,Women's Regular,Global,99452-22VM/902,EMEA,99452-22,,6,Sportswear,Tops Woven,Women's,T-Shirt,Europe,Europe,Seasonal,Europe Market,Europe Market,Mechanic Style,99452-22VM,99452-22VM,Mechanic Shirt,Mechanic Shirt,T-Shirt,2021,21.5,57.78,362.8,197,115.56,215.0,577.8,1155.6,577.8,10,1,3,10
98734-22VM,98734-22VM,MWS 1406576,MWS Random,Sportswear,GMMC: Genuine Motorclothes,Grey,2021-04-04,Apr,21 04,21 04,2021 Spring,2021 Spring,Tops Woven,Casual,Women's,Women's Regular,Global,98734-22VM/894,EMEA,98734-22,,4,Sportswear,Tops Woven,Women's,Jacket,USA,USA,Seasonal,USA Market,USA Market,Mechanic Style,98734-22VM,98734-22VM,Mechanic Shirt,Mechanic Shirt,Jacket,2021,19.3,39.94,227.04,202,79.88,212.3,439.34,878.68,439.34,11,1,5,11
96276-22VM,96276-22VM,MWS 1258329,MWS Random,Sportswear,GMMC: Genuine Motorclothes,Black,2021-12-30,Dec,21 12,21 12,2021 Spring,2021 Spring,Tops Woven,Casual,Men's,Men's Regular,Global,96276-22VM/798,EMEA,96276-22,,12,Sportswear,Tops Woven,Men's,Cap,Europe,Europe,Seasonal,Europe Market,Europe Market,Mechanic Style,96276-22VM,96276-22VM,Mechanic Shirt,Mechanic Shirt,Cap,2021,14.07,28.43,258.48,148,56.86,253.26,511.74,1023.48,511.74,18,1,3,18
94353-22VM,94353-22VM,MWS 1015863,MWS Random,Sportswear,Seasonal,Black,2021-02-14,Feb,21 02,21 02,2021 Spring,2021 Spring,Tops Woven,Casual,Men's,Men's Regular,Global,94353-22VM/689,EMEA,94353-22,,2,Sportswear,Tops Woven,Men's,T-Shirt,Europe,Europe,Seasonal,Europe Market,Europe Market,Mechanic Style,94353-22VM,94353-22VM,Mechanic Shirt,Mechanic Shirt,T-Shirt,2021,26.41,57.25,616.8,354,114.5,528.2,1145.0,2290.0,1145.0,20,1,0,20
94379-22VM,94379-22VM,MWS 1467688,MWS Random,Sportswear,Core,Blue,2021-06-04,Jun,21 06,21 06,2021 Spring,2021 Spring,Tops Woven,Casual,Men's,Men's Regular,Global,94379-22VM/041,APAC,94379-22,,6,Sportswear,Tops Woven,Men's,Shirt,Asia Pacific,Asia Pacific,Seasonal,Asia Pacific Market,Asia Pacific Market,Mechanic Style,94379-22VM,94379-22VM,Mechanic Shirt,Mechanic Shirt,Shirt,2021,13.91,33.33,58.26,147,66.66,41.73,99.99,199.98,99.99,3,1,5,3
96404-22VM,96404-22VM,MWS 1407151,MWS Random,Sportswear,Seasonal,Green,2021-10-14,Oct,21 10,21 10,2021 Spring,2021 Spring,Tops Woven,Casual,Men's,Men's Regular,Global,96404-22VM/923,APAC,96404-22,,10,Sportswear,Tops Woven,Men's,Jacket,Europe,Europe,Seasonal,Europe Market,Europe Market,Mechanic Style,96404-22VM,96404-22VM,Mechanic Shirt,Mechanic Shirt,Jacket,2021,14.22,37.97,332.5,365,75.94,199.08,531.58,1063.16,531.58,14,1,1,14
91981-22VM,91981-22VM,MWS 1553181,MWS Random,Sportswear,Core,Red,2021-03-29,Mar,21 03,21 03,2021 Spring,2021 Spring,Tops Woven,Casual,Unisex,Unisex Regular,Global,91981-22VM/497,EMEA,91981-22,,3,Sportswear,Tops Woven,Unisex,Jacket,Europe,Europe,Seasonal,Europe Market,Europe Market,Mechanic Style,91981-22VM,91981-22VM,Mechanic Shirt,Mechanic Shirt,Jacket,2021,24.78,51.16,131.9,141,102.32,123.9,255.8,511.6,255.8,5,1,2,5
95852-22VM,95852-22VM,MWS 1346828,MWS Random,Sportswear,Core,Black,2021-06-19,Jun,21 06,21 06,2021 Spring,2021 Spring,Tops Woven,Casual,Women's,Women's Regular,Global,95852-22VM/743,EMEA,95852-22,,6,Sportswear,Tops Woven,Women's,Cap,USA,USA,Seasonal,USA Market,USA Market,Mechanic Style,95852-22VM,95852-22VM,Mechanic Shirt,Mechanic Shirt,Cap,2021,26.44,76.61,1003.4,415,153.22,528.8,1532.2,3064.4,1532.2,20,1,0,20
97431-22VM,97431-22VM,MWS 1502108,MWS Random,Sportswear,Seasonal,Red,2021-11-22,Nov,21 11,21 11,2021 Spring,2021 Spring,Tops Woven,Casual,Women's,Women's Regular,Global,97431-22VM/897,APAC,97431-22,,11,Sportswear,Tops Woven,Women's,Shirt,USA,USA,Seasonal,USA Market,USA Market,Mechanic Style,97431-22VM,97431-22VM,Mechanic Shirt,Mechanic Shirt,Shirt,2021,13.17,32.14,170.73,329,64.28,118.53,289.26,578.52,289.26,9,1,1,9
96126-22VM,96126-22VM,MWS 1259513,MWS Random,Sportswear,GMMC: Genuine Motorclothes,Green,2021-03-15,Mar,21 03,21 03,2021 Spring,2021 Spring,Tops Woven,Casual,Men's,Men's Regular,Global,96126-22VM/197,North America,96126-22,,3,Sportswear,Tops Woven,Men's,Cap,USA,USA,Seasonal,USA Market,USA Market,Mechanic Style,96126-22VM,96126-22VM,Mechanic Shirt,Mechanic Shirt,Cap,2021,28.75,82.29,214.16,130,164.58,115.0,329.16,658.32,329.16,4,1,3,4
98163-22VM,98163-22VM,MWS 1836332,MWS Random,Sportswear,Core,Black,2021-10-02,Oct,21 10,21 10,2021 Spring,2021 Spring,Tops Woven,Casual,Women's,Women's Regular,Global,98163-22VM/159,EMEA,98163-22,,10,Sportswear,Tops Woven,Women's,Jacket,Asia Pacific,Asia Pacific,Seasonal,Asia Pacific Market,Asia Pacific Market,Mechanic Style,98163-22VM,98163-22VM,Mechanic Shirt,Mechanic Shirt,Jacket,2021,27.39,59.7,290.79,265,119.4,246.51,537.3,1074.6,537.3,9,1,1,9
90164-22VM,90164-22VM,MWS 1745174,MWS Random,Sportswear,Core,Red,2021-01-30,Jan,21 01,21 01,2021 Spring,2021 Spring,Tops Woven,Casual,Unisex,Unisex Regular,Global,90164-22VM/445,APAC,90164-22,,1,Sportswear,Tops Woven,Unisex,T-Shirt,Asia Pacific,Asia Pacific,Seasonal,Asia Pacific Market,Asia Pacific Market,Mechanic Style,90164-22VM,90164-22VM,Mechanic Shirt,Mechanic Shirt,T-Shirt,2021,10.44,22.64,36.6,262,45.28,31.32,67.92,135.84,67.92,3,1,4,3
93533-22VM,93533-22VM,MWS 1236733,MWS Random,Sportswear,Seasonal,Red,2021-06-10,Jun,21 06,21 06,2021 Spring,2021 Spring,Tops Woven,Casual,Men's,Men's Regular,Global,93533-22VM/153,APAC,93533-22,,6,Sportswear,Tops Woven,Men's,Cap,Asia Pacific,Asia Pacific,Seasonal,Asia Pacific Market,Asia Pacific Market,Mechanic Style,93533-22VM,93533-22VM,Mechanic Shirt,Mechanic Shirt,Cap,2021,11.29,24.51,171.86,269,49.02,146.77,318.63,637.26,318.63,13,1,3,13
94319-22VM,94319-22VM,MWS 1333632,MWS Random,Sportswear,Seasonal,Blue,2021-03-22,Mar,21 03,21 03,2021 Spring,2021 Spring,Tops Woven,Casual,Women's,Women's Regular,Global,94319-22VM/775,EMEA,94319-22,,3,Sportswear,Tops Woven,Women's,Jacket,USA,USA,Seasonal,USA Market,USA Market,Mechanic Style,94319-22VM,94319-22VM,Mechanic Shirt,Mechanic Shirt,Jacket,2021,20.95,58.26,298.48,407,116.52,167.6,466.08,932.16,466.08,8,1,3,8
95218-22VM,95218-22VM,MWS 1994249,MWS Random,Sportswear,GMMC: Genuine Motorclothes,Green,2021-10-26,Oct,21 10,21 10,2021 Spring,2021 Spring,Tops Woven,Casual,Women's,Women's Regular,Global,95218-22VM/287,North America,95218-22,,10,Sportswear,Tops Woven,Women's,Cap,Asia Pacific,Asia Pacific,Seasonal,Asia Pacific Market,Asia Pacific Market,Mechanic Style,95218-22VM,95218-22VM,Mechanic Shirt,Mechanic Shirt,Cap,2021,28.92,81.16,835.84,316,162.32,462.72,1298.56,2597.12,1298.56,16,1,5,16
96438-22VM,96438-22VM,MWS 1474034,MWS Random,Sportswear,GMMC: Genuine Motorclothes,Red,2021-09-17,Sep,21 09,21 09,2021 Spring,2021 Spring,Tops Woven,Casual,Unisex,Unisex Regular,Global,96438-22VM/118,EMEA,96438-22,,9,Sportswear,Tops Woven,Unisex,Shirt,Asia Pacific,Asia Pacific,Seasonal,Asia Pacific Market,Asia Pacific Market,Mechanic Style,96438-22VM,96438-22VM,Mechanic Shirt,Mechanic Shirt,Shirt,2021,15.94,47.19,531.25,189,94.38,270.98,802.23,1604.46,802.23,17,1,0,17
91151-22VM,91151-22VM,MWS 1333334,MWS Random,Sportswear,GMMC: Genuine Motorclothes,Black,2021-05-29,May,21 05,21 05,2021 Spring,2021 Spring,Tops Woven,Casual,Men's,Men's Regular,Global,91151-22VM/454,EMEA,91151-22,,5,Sportswear,Tops Woven,Men's,Jacket,USA,USA,Seasonal,USA Market,USA Market,Mechanic Style,91151-22VM,91151-22VM,Mechanic Shirt,Mechanic Shirt,Jacket,2021,11.65,26.71,60.24,172,53.42,46.6,106.84,213.68,106.84,4,1,0,4
99758-22VM,99758-22VM,MWS 1388738,MWS Random,Sportswear,Core,Grey,2021-06-22,Jun,21 06,21 06,2021 Spring,2021 Spring,Tops Woven,Casual,Men's,Men's Regular,Global,99758-22VM/115,APAC,99758-22,,6,Sportswear,Tops Woven,Men's,Jacket,Asia Pacific,Asia Pacific,Seasonal,Asia Pacific Market,Asia Pacific Market,Mechanic Style,99758-22VM,99758-22VM,Mechanic Shirt,Mechanic Shirt,Jacket,2021,12.19,29.44,207.0,453,58.88,146.28,353.28,706.56,353.28,12,1,5,12
